sample_id,image_path,encounter_risk
00105d82af2414bf,train/00105d82af2414bf.jpg,0
004f8f611a2d6ff8,train/004f8f611a2d6ff8.jpg,0
00543b16d0375b3c,train/00543b16d0375b3c.jpg,0
005b2917c60e65f4,train/005b2917c60e65f4.jpg,0
008da86f159c21e4,train/008da86f159c21e4.jpg,0
0092786ec39f5cd9,train/0092786ec39f5cd9.jpg,0
009592383322727c,train/009592383322727c.jpg,0
00a1710f9a87e344,train/00a1710f9a87e344.jpg,1
00c0d128713da2db,train/00c0d128713da2db.jpg,1
010ea4f3f75b3062,train/010ea4f3f75b3062.jpg,0
011063bee8913f4a,train/011063bee8913f4a.jpg,0
0135d44f3d3153d7,train/0135d44f3d3153d7.jpg,0
0138bb0d8f83c997,train/0138bb0d8f83c997.jpg,0
014a968392dd533a,train/014a968392dd533a.jpg,0
016888b60bf62dcb,train/016888b60bf62dcb.jpg,0
0182161589bf145e,train/0182161589bf145e.jpg,0
01d3518f86171391,train/01d3518f86171391.jpg,0
01e1c17eec01a2fb,train/01e1c17eec01a2fb.jpg,1
022e927bd1bf6654,train/022e927bd1bf6654.jpg,0
023aa8b4c4cf205f,train/023aa8b4c4cf205f.jpg,0
024db68871bc9cc9,train/024db68871bc9cc9.jpg,0
0255370b9c3eebe4,train/0255370b9c3eebe4.jpg,0
025a51c24368b843,train/025a51c24368b843.jpg,1
025fb67debad25f8,train/025fb67debad25f8.jpg,0
02718e92b486bd90,train/02718e92b486bd90.jpg,0
027a39511a65ccae,train/027a39511a65ccae.jpg,0
028065b41c8b0cd2,train/028065b41c8b0cd2.jpg,1
02f56a9055cfbf1c,train/02f56a9055cfbf1c.jpg,0
03111811fc646c5d,train/03111811fc646c5d.jpg,0
031d0362be5a807f,train/031d0362be5a807f.jpg,1
032098ee45b1a387,train/032098ee45b1a387.jpg,0
032503b0bba92a3b,train/032503b0bba92a3b.jpg,1
032a3e6432412689,train/032a3e6432412689.jpg,0
035b10d96b7a1915,train/035b10d96b7a1915.jpg,0
035c10578edfd088,train/035c10578edfd088.jpg,0
03710f2b7cefd386,train/03710f2b7cefd386.jpg,0
0380882f715810ce,train/0380882f715810ce.jpg,0
03ca7edf0e168c2c,train/03ca7edf0e168c2c.jpg,0
043b96e7da5719d4,train/043b96e7da5719d4.jpg,1
046cb7b020dde2dd,train/046cb7b020dde2dd.jpg,0
04d68c692b673ccf,train/04d68c692b673ccf.jpg,0
04e3b1ec6a46c729,train/04e3b1ec6a46c729.jpg,0
05217523dda7f9a2,train/05217523dda7f9a2.jpg,0
05354fa53445bbbe,train/05354fa53445bbbe.jpg,1
058099128d2b30a2,train/058099128d2b30a2.jpg,0
05881ca0aa4bd89c,train/05881ca0aa4bd89c.jpg,1
05a3b80105ded291,train/05a3b80105ded291.jpg,0
05af6d99b78d1ff1,train/05af6d99b78d1ff1.jpg,0
05f47ee9e853995f,train/05f47ee9e853995f.jpg,0
05fe531adfb7bec3,train/05fe531adfb7bec3.jpg,0
06216e6960eabc34,train/06216e6960eabc34.jpg,0
06377f94c7ecb1e6,train/06377f94c7ecb1e6.jpg,0
06414ad44cce8738,train/06414ad44cce8738.jpg,0
0667b6d1a59517e0,train/0667b6d1a59517e0.jpg,0
0679d2ac1223cd1c,train/0679d2ac1223cd1c.jpg,0
0691f6d3e14ce84d,train/0691f6d3e14ce84d.jpg,0
069b2f4bde7e8bb4,train/069b2f4bde7e8bb4.jpg,1
06ab0bdb2ad33a32,train/06ab0bdb2ad33a32.jpg,0
06fd74b069e0dcc0,train/06fd74b069e0dcc0.jpg,0
0740f3f4382a7345,train/0740f3f4382a7345.jpg,0
0755d3e0dc72d704,train/0755d3e0dc72d704.jpg,1
07958826eec9d81b,train/07958826eec9d81b.jpg,0
0797b52921a241ce,train/0797b52921a241ce.jpg,1
07e114c19d2bb8bc,train/07e114c19d2bb8bc.jpg,0
07e26a0cd25a1850,train/07e26a0cd25a1850.jpg,0
07e855feae1cdce0,train/07e855feae1cdce0.jpg,1
080bac666c54a645,train/080bac666c54a645.jpg,0
0813c79664284afe,train/0813c79664284afe.jpg,1
081f8ae518c82607,train/081f8ae518c82607.jpg,0
0845c572c946c9fe,train/0845c572c946c9fe.jpg,0
08763956ca33386e,train/08763956ca33386e.jpg,1
08b71144af27a82f,train/08b71144af27a82f.jpg,1
08ce6c80909c42cf,train/08ce6c80909c42cf.jpg,0
08d7c5391be95792,train/08d7c5391be95792.jpg,0
08f0c245815d0906,train/08f0c245815d0906.jpg,0
092339e11ab39707,train/092339e11ab39707.jpg,1
092e65dfa4b60571,train/092e65dfa4b60571.jpg,0
0945b34cad8994e7,train/0945b34cad8994e7.jpg,1
09596627f6bdb938,train/09596627f6bdb938.jpg,0
09a48056f8fe6a08,train/09a48056f8fe6a08.jpg,0
09afacac687dd0c3,train/09afacac687dd0c3.jpg,0
0a4126ad75735614,train/0a4126ad75735614.jpg,0
0a4bf62788e7fc66,train/0a4bf62788e7fc66.jpg,0
0a5e0e977ffdb279,train/0a5e0e977ffdb279.jpg,1
0a5e31aa77e8606f,train/0a5e31aa77e8606f.jpg,0
0a6e53bddfeb3733,train/0a6e53bddfeb3733.jpg,0
0a721425189ebf4d,train/0a721425189ebf4d.jpg,0
0a7658361a4f815a,train/0a7658361a4f815a.jpg,0
0a9b09636fa7156d,train/0a9b09636fa7156d.jpg,1
0aaa7cd3367d2ed0,train/0aaa7cd3367d2ed0.jpg,0
0aaecdacf448c0a0,train/0aaecdacf448c0a0.jpg,1
0aaedd34d315ee69,train/0aaedd34d315ee69.jpg,1
0ab90c85cc7be785,train/0ab90c85cc7be785.jpg,1
0ad1befe0f0c3f19,train/0ad1befe0f0c3f19.jpg,0
0ad6a90ca47ab52b,train/0ad6a90ca47ab52b.jpg,0
0ae7bfda01fb03d9,train/0ae7bfda01fb03d9.jpg,0
0b296f543e404072,train/0b296f543e404072.jpg,1
0b456c9e667b5d73,train/0b456c9e667b5d73.jpg,0
0b55a13b051f7d17,train/0b55a13b051f7d17.jpg,1
0b5ee80e469b5aad,train/0b5ee80e469b5aad.jpg,1
0b69018db4af47cf,train/0b69018db4af47cf.jpg,0
0b7cecc99c4cc472,train/0b7cecc99c4cc472.jpg,1
0b9703248e10ab47,train/0b9703248e10ab47.jpg,0
0bc07c6ad7ace150,train/0bc07c6ad7ace150.jpg,0
0be41893d2265e37,train/0be41893d2265e37.jpg,0
0c035aba6fa7ef61,train/0c035aba6fa7ef61.jpg,0
0c0c5d2392d85c97,train/0c0c5d2392d85c97.jpg,1
